Date,Price,Open,High,Low,Vol.,Change %
2/28/2022 0:00,0.133469,0.122965,0.134819,0.121422,1.07B,8.54%
2/27/2022 0:00,0.122963,0.127599,0.12833,0.121306,883.80M,-3.63%
2/26/2022 0:00,0.127596,0.127659,0.130276,0.125801,764.79M,-0.05%
2/25/2022 0:00,0.127659,0.124013,0.12829,0.120605,1.15B,2.94%
2/24/2022 0:00,0.124013,0.127247,0.127674,0.107474,4.01B,-2.52%
2/23/2022 0:00,0.127224,0.131335,0.135383,0.127222,959.11M,-3.14%
2/22/2022 0:00,0.131352,0.12812,0.131786,0.124295,1.21B,2.55%
2/21/2022 0:00,0.128089,0.136627,0.141556,0.127261,1.69B,-6.24%
2/20/2022 0:00,0.136611,0.140909,0.141095,0.135477,838.15M,-3.05%
2/19/2022 0:00,0.140908,0.138599,0.146354,0.138484,1.07B,1.68%
2/18/2022 0:00,0.138583,0.138369,0.142164,0.136167,980.76M,0.12%
2/17/2022 0:00,0.138414,0.148754,0.149999,0.137236,1.23B,-6.95%
2/16/2022 0:00,0.148757,0.151606,0.151643,0.146288,704.25M,-1.89%
2/15/2022 0:00,0.151626,0.145778,0.152347,0.144858,966.78M,3.93%
2/14/2022 0:00,0.145895,0.148129,0.150132,0.142986,1.46B,-1.53%
2/13/2022 0:00,0.148156,0.144302,0.157644,0.143727,2.61B,2.67%
2/12/2022 0:00,0.144303,0.144804,0.147246,0.140862,969.02M,-0.37%
2/11/2022 0:00,0.144842,0.151458,0.154203,0.14263,1.21B,-4.34%
2/10/2022 0:00,0.151417,0.159353,0.160551,0.150656,1.60B,-4.99%
2/9/2022 0:00,0.159365,0.158127,0.162069,0.154445,1.29B,0.83%
2/8/2022 0:00,0.158056,0.165201,0.169607,0.153091,2.06B,-4.32%
2/7/2022 0:00,0.165193,0.154009,0.172657,0.1515,3.20B,7.27%
2/6/2022 0:00,0.153996,0.146911,0.155418,0.144764,1.23B,4.81%
2/5/2022 0:00,0.146924,0.147812,0.150426,0.144942,941.50M,-0.55%
2/4/2022 0:00,0.147737,0.137855,0.148024,0.137041,1.05B,7.16%
2/3/2022 0:00,0.13786,0.137059,0.138802,0.134797,718.45M,0.59%
2/2/2022 0:00,0.137058,0.142329,0.1461,0.136238,915.12M,-3.71%
2/1/2022 0:00,0.142331,0.141611,0.14425,0.140893,766.06M,0.49%
1/31/2022 0:00,0.141632,0.139249,0.142377,0.136478,761.97M,1.69%
1/30/2022 0:00,0.139284,0.142894,0.143683,0.138172,652.68M,-2.56%
1/29/2022 0:00,0.142947,0.141465,0.143986,0.140551,645.28M,1.01%
1/28/2022 0:00,0.141519,0.141355,0.142473,0.137964,883.86M,0.20%
1/27/2022 0:00,0.141236,0.143016,0.145477,0.136276,1.30B,-1.21%
1/26/2022 0:00,0.142961,0.14266,0.153061,0.141062,2.42B,0.21%
1/25/2022 0:00,0.142655,0.137328,0.149085,0.132605,2.41B,3.86%
1/24/2022 0:00,0.137352,0.141759,0.141804,0.126167,3.07B,-3.10%
1/23/2022 0:00,0.141739,0.133278,0.144228,0.132155,2.35B,6.36%
1/22/2022 0:00,0.133266,0.142031,0.145131,0.120493,4.22B,-6.24%
1/21/2022 0:00,0.142142,0.155381,0.157406,0.140155,2.76B,-8.56%
1/20/2022 0:00,0.15545,0.161634,0.169228,0.154094,1.40B,-3.80%
1/19/2022 0:00,0.161593,0.165118,0.169457,0.159315,1.59B,-2.15%
1/18/2022 0:00,0.165144,0.170955,0.174161,0.161821,1.70B,-3.42%
1/17/2022 0:00,0.170996,0.176683,0.177928,0.16578,1.86B,-3.20%
1/16/2022 0:00,0.176653,0.184707,0.184707,0.173712,1.77B,-4.35%
1/15/2022 0:00,0.184686,0.183131,0.194355,0.18176,2.74B,0.89%
1/14/2022 0:00,0.183061,0.171686,0.211988,0.170741,8.91B,6.64%
1/13/2022 0:00,0.171666,0.162804,0.176629,0.161362,3.74B,5.47%
1/12/2022 0:00,0.162769,0.153702,0.163087,0.151351,1.54B,5.91%
1/11/2022 0:00,0.153689,0.143175,0.165965,0.141826,2.78B,7.34%
1/10/2022 0:00,0.14318,0.150545,0.152149,0.13737,1.47B,-4.87%
1/9/2022 0:00,0.150507,0.150882,0.153731,0.148723,699.42M,-0.24%
1/8/2022 0:00,0.150862,0.154882,0.157782,0.145722,1.08B,-2.59%
1/7/2022 0:00,0.154876,0.160096,0.160204,0.149425,1.88B,-3.26%
1/6/2022 0:00,0.160091,0.158952,0.161965,0.154099,1.21B,0.76%
1/5/2022 0:00,0.158881,0.168516,0.170927,0.147528,1.78B,-5.71%
1/4/2022 0:00,0.168498,0.17028,0.172556,0.166777,849.69M,-0.97%
1/3/2022 0:00,0.170154,0.174443,0.174493,0.167531,798.45M,-2.45%
1/2/2022 0:00,0.174435,0.173105,0.176137,0.170661,525.95M,0.76%
1/1/2022 0:00,0.173115,0.170297,0.173674,0.16977,546.16M,1.65%
