Date,Price,Open,High,Low,Vol.,Change %
2/28/2022 0:00,"2,922.50","2,616.34","2,949.44","2,574.12",899.19K,11.70%
2/27/2022 0:00,"2,616.34","2,779.55","2,834.61","2,562.94",804.74K,-5.78%
2/26/2022 0:00,"2,776.96","2,767.58","2,856.01","2,734.56",520.44K,0.34%
2/25/2022 0:00,"2,767.53","2,596.52","2,830.31","2,573.39",828.87K,6.59%
2/24/2022 0:00,"2,596.52","2,578.54","2,732.02","2,303.07",1.85M,0.71%
2/23/2022 0:00,"2,578.15","2,637.38","2,749.80","2,578.15",636.50K,-2.20%
2/22/2022 0:00,"2,636.13","2,569.19","2,663.01","2,501.40",841.13K,2.58%
2/21/2022 0:00,"2,569.87","2,619.32","2,755.58","2,560.24",996.71K,-1.89%
2/20/2022 0:00,"2,619.32","2,763.97","2,764.46","2,577.52",508.49K,-5.23%
2/19/2022 0:00,"2,763.81","2,779.44","2,829.20","2,699.70",377.08K,-0.57%
2/18/2022 0:00,"2,779.56","2,893.78","2,943.14","2,754.15",623.19K,-3.96%
2/17/2022 0:00,"2,894.03","3,122.33","3,159.83","2,855.66",661.98K,-7.21%
2/16/2022 0:00,"3,118.90","3,182.32","3,184.88","3,045.92",416.70K,-1.99%
2/15/2022 0:00,"3,182.27","2,929.29","3,193.18","2,912.61",540.04K,8.64%
2/14/2022 0:00,"2,929.31","2,871.06","2,963.70","2,834.13",477.24K,2.06%
2/13/2022 0:00,"2,870.25","2,917.16","2,952.94","2,838.29",303.12K,-1.61%
2/12/2022 0:00,"2,917.10","2,927.64","2,984.72","2,858.85",433.29K,-0.36%
2/11/2022 0:00,"2,927.63","3,071.80","3,136.33","2,880.60",607.93K,-4.69%
2/10/2022 0:00,"3,071.83","3,243.73","3,277.36","3,058.59",742.54K,-5.30%
2/9/2022 0:00,"3,243.62","3,115.91","3,266.41","3,055.95",477.82K,4.10%
2/8/2022 0:00,"3,115.88","3,139.65","3,228.86","3,029.70",664.45K,-0.77%
2/7/2022 0:00,"3,140.18","3,056.29","3,185.77","2,995.59",568.42K,2.75%
2/6/2022 0:00,"3,056.20","3,013.75","3,073.23","2,957.16",316.58K,1.41%
2/5/2022 0:00,"3,013.81","2,994.74","3,058.88","2,963.11",473.62K,0.63%
2/4/2022 0:00,"2,994.99","2,692.80","2,994.99","2,671.72",908.75K,11.22%
2/3/2022 0:00,"2,692.80","2,680.66","2,723.97","2,579.80",549.27K,0.44%
2/2/2022 0:00,"2,681.00","2,787.16","2,809.57","2,618.07",602.40K,-3.81%
2/1/2022 0:00,"2,787.16","2,686.82","2,808.60","2,676.32",521.74K,3.73%
1/31/2022 0:00,"2,686.82","2,602.71","2,704.64","2,478.85",601.73K,3.23%
1/30/2022 0:00,"2,602.77","2,600.12","2,636.04","2,543.99",381.84K,0.11%
1/29/2022 0:00,"2,600.02","2,545.95","2,632.51","2,520.14",484.18K,2.12%
1/28/2022 0:00,"2,545.95","2,424.66","2,556.34","2,362.53",634.50K,5.00%
1/27/2022 0:00,"2,424.66","2,462.25","2,515.19","2,317.30",774.54K,-1.49%
1/26/2022 0:00,"2,461.41","2,458.07","2,719.32","2,405.66",1.05M,0.14%
1/25/2022 0:00,"2,458.07","2,441.01","2,504.32","2,352.36",656.03K,0.70%
1/24/2022 0:00,"2,441.01","2,540.81","2,540.81","2,161.55",1.56M,-3.93%
1/23/2022 0:00,"2,540.81","2,412.52","2,547.19","2,373.85",766.83K,5.32%
1/22/2022 0:00,"2,412.52","2,570.67","2,621.21","2,311.80",1.48M,-6.17%
1/21/2022 0:00,"2,571.29","3,000.21","3,032.69","2,471.80",1.42M,-14.43%
1/20/2022 0:00,"3,004.72","3,084.48","3,270.71","2,989.19",481.08K,-2.56%
1/19/2022 0:00,"3,083.65","3,160.15","3,173.63","3,049.30",459.81K,-2.42%
1/18/2022 0:00,"3,160.15","3,209.43","3,242.47","3,084.48",399.19K,-1.53%
1/17/2022 0:00,"3,209.35","3,346.63","3,356.45","3,142.40",375.28K,-4.10%
1/16/2022 0:00,"3,346.59","3,326.50","3,388.22","3,276.44",295.68K,0.57%
1/15/2022 0:00,"3,327.74","3,307.84","3,369.95","3,265.41",292.10K,0.60%
1/14/2022 0:00,"3,307.90","3,241.95","3,341.24","3,195.65",415.18K,2.16%
1/13/2022 0:00,"3,238.03","3,370.87","3,407.98","3,234.97",462.81K,-3.94%
1/12/2022 0:00,"3,370.89","3,238.22","3,406.79","3,208.00",530.96K,4.11%
1/11/2022 0:00,"3,237.89","3,084.64","3,262.78","3,053.40",505.21K,4.94%
1/10/2022 0:00,"3,085.43","3,150.27","3,179.96","2,931.68",804.38K,-2.06%
1/9/2022 0:00,"3,150.30","3,079.89","3,210.34","3,060.47",415.87K,2.28%
1/8/2022 0:00,"3,080.02","3,198.14","3,244.46","3,001.76",566.06K,-3.61%
1/7/2022 0:00,"3,195.31","3,407.22","3,413.26","3,077.30",979.25K,-6.23%
1/6/2022 0:00,"3,407.77","3,536.15","3,550.19","3,306.14",701.89K,-3.62%
1/5/2022 0:00,"3,535.86","3,784.47","3,846.44","3,418.46",582.71K,-6.69%
1/4/2022 0:00,"3,789.52","3,764.62","3,889.07","3,715.24",415.81K,0.67%
1/3/2022 0:00,"3,764.24","3,830.70","3,849.50","3,682.48",338.51K,-1.73%
1/2/2022 0:00,"3,830.67","3,765.67","3,851.16","3,718.33",242.55K,1.73%
1/1/2022 0:00,"3,765.67","3,677.69","3,775.20","3,675.75",239.54K,2.39%
