Date,PostCount,NegMean,NeuMean,PosMean,LagDate,btcChange,ethChange,dogeChange,xrpChange
1/11/2022,54,0.058462963,0.834592593,0.106981481,1/10/2022,p,p,p,p
1/12/2022,74,0.056459459,0.835432432,0.108162162,1/11/2022,p,p,p,p
1/13/2022,42,0.028809524,0.838619048,0.132619048,1/12/2022,n,n,p,n
1/14/2022,50,0.04198,0.85664,0.10136,1/13/2022,p,p,p,p
1/15/2022,41,0.051585366,0.814756098,0.133609756,1/14/2022,p,p,p,p
1/16/2022,43,0.051953488,0.84227907,0.105837209,1/15/2022,n,p,n,n
1/17/2022,43,0.048069767,0.835325581,0.116674419,1/16/2022,n,n,n,n
1/18/2022,59,0.041457627,0.860016949,0.09840678,1/17/2022,p,n,n,n
1/19/2022,64,0.05184375,0.82440625,0.123734375,1/18/2022,n,n,n,n
1/20/2022,68,0.035926471,0.836485294,0.127602941,1/19/2022,n,n,n,n
1/21/2022,67,0.045895522,0.860149254,0.093985075,1/20/2022,n,n,n,n
1/22/2022,77,0.063571429,0.844883117,0.091584416,1/21/2022,n,n,n,n
1/23/2022,44,0.058477273,0.840886364,0.100613636,1/22/2022,p,p,p,p
1/24/2022,61,0.087901639,0.81447541,0.097639344,1/23/2022,p,n,n,n
1/25/2022,68,0.050823529,0.840235294,0.108882353,1/24/2022,p,p,p,p
1/26/2022,82,0.04004878,0.855121951,0.104780488,1/25/2022,n,p,p,p
1/27/2022,64,0.06459375,0.838421875,0.09703125,1/26/2022,p,n,n,n
1/28/2022,61,0.036,0.862295082,0.101655738,1/27/2022,p,p,p,p
1/29/2022,48,0.049479167,0.861395833,0.0890625,1/28/2022,p,p,p,p
1/30/2022,52,0.036076923,0.870788462,0.093192308,1/29/2022,n,p,n,n
1/31/2022,59,0.069220339,0.811864407,0.118915254,1/30/2022,p,p,p,p
2/1/2022,61,0.047655738,0.829704918,0.122606557,1/31/2022,p,p,p,p
2/2/2022,63,0.045428571,0.819444444,0.135190476,2/1/2022,n,n,n,n
2/3/2022,50,0.03562,0.85956,0.1048,2/2/2022,p,p,p,p
2/4/2022,57,0.045859649,0.843052632,0.111140351,2/3/2022,p,p,p,p
2/5/2022,63,0.03052381,0.842936508,0.126571429,2/4/2022,n,p,n,p
2/6/2022,44,0.033931818,0.862613636,0.103409091,2/5/2022,p,p,p,p
2/7/2022,77,0.045532468,0.833974026,0.120506494,2/6/2022,p,p,p,p
2/8/2022,85,0.039764706,0.831235294,0.129023529,2/7/2022,p,n,n,p
2/9/2022,69,0.04215942,0.836043478,0.121782609,2/8/2022,p,p,p,n
