Date,Price,Open,High,Low,Vol.,Change %
2/28/2022 0:00,0.78127,0.72144,0.79257,0.70893,855.06M,8.29%
2/27/2022 0:00,0.72144,0.75044,0.76674,0.7042,865.45M,-3.86%
2/26/2022 0:00,0.75044,0.76923,0.79063,0.74079,909.28M,-2.45%
2/25/2022 0:00,0.76926,0.69603,0.77591,0.68516,983.37M,10.53%
2/24/2022 0:00,0.696,0.69624,0.71839,0.62253,1.84B,0.00%
2/23/2022 0:00,0.69602,0.72101,0.74369,0.69285,868.99M,-3.49%
2/22/2022 0:00,0.72119,0.70187,0.72636,0.67499,1.18B,2.79%
2/21/2022 0:00,0.70162,0.77583,0.80041,0.69665,1.16B,-9.54%
2/20/2022 0:00,0.77562,0.82174,0.82272,0.7663,968.87M,-5.60%
2/19/2022 0:00,0.8216,0.78467,0.85354,0.77057,940.73M,4.71%
2/18/2022 0:00,0.78468,0.76736,0.80446,0.75677,815.44M,2.34%
2/17/2022 0:00,0.76677,0.83689,0.84449,0.75487,748.40M,-8.26%
2/16/2022 0:00,0.83582,0.85099,0.8525,0.80911,520.13M,-1.76%
2/15/2022 0:00,0.85083,0.8008,0.85886,0.79627,555.15M,6.25%
2/14/2022 0:00,0.80077,0.80562,0.81193,0.78027,622.89M,-0.58%
2/13/2022 0:00,0.80545,0.82203,0.84651,0.79278,699.44M,-1.98%
2/12/2022 0:00,0.82171,0.75907,0.85036,0.74725,934.29M,8.27%
2/11/2022 0:00,0.75896,0.82537,0.83309,0.7502,923.55M,-8.06%
2/10/2022 0:00,0.82551,0.86957,0.89553,0.82379,961.48M,-5.09%
2/9/2022 0:00,0.8698,0.87623,0.91255,0.8443,1.17B,-0.73%
2/8/2022 0:00,0.87618,0.83146,0.91257,0.8037,1.92B,5.42%
2/7/2022 0:00,0.83116,0.68268,0.83817,0.67173,1.20B,21.74%
2/6/2022 0:00,0.68271,0.66618,0.68661,0.6605,311.39M,2.48%
2/5/2022 0:00,0.66617,0.65556,0.68613,0.65019,581.98M,1.61%
2/4/2022 0:00,0.65563,0.60956,0.65823,0.60446,523.14M,7.55%
2/3/2022 0:00,0.60961,0.60089,0.60961,0.58941,349.86M,1.46%
2/2/2022 0:00,0.60082,0.62824,0.63115,0.596,379.99M,-4.36%
2/1/2022 0:00,0.62823,0.61758,0.63066,0.61117,357.98M,1.75%
1/31/2022 0:00,0.61746,0.60147,0.62394,0.581,441.21M,2.66%
1/30/2022 0:00,0.60148,0.61748,0.62292,0.59753,297.09M,-2.58%
1/29/2022 0:00,0.6174,0.61127,0.62467,0.60914,301.82M,1.00%
1/28/2022 0:00,0.61128,0.60895,0.61358,0.59197,459.46M,0.48%
1/27/2022 0:00,0.60837,0.61899,0.62405,0.58965,582.23M,-1.71%
1/26/2022 0:00,0.61896,0.6178,0.65753,0.60523,895.25M,0.22%
1/25/2022 0:00,0.6176,0.61203,0.6227,0.58659,639.44M,0.90%
1/24/2022 0:00,0.61208,0.62868,0.62868,0.55498,1.03B,-2.65%
1/23/2022 0:00,0.62873,0.59679,0.63494,0.5903,658.65M,5.36%
1/22/2022 0:00,0.59674,0.6372,0.65281,0.552,1.45B,-6.37%
1/21/2022 0:00,0.63732,0.72025,0.72835,0.61332,1.14B,-11.54%
1/20/2022 0:00,0.72044,0.73819,0.76195,0.71648,398.80M,-2.38%
1/19/2022 0:00,0.73799,0.7509,0.75318,0.72406,394.07M,-1.78%
1/18/2022 0:00,0.75136,0.76171,0.76844,0.73567,381.76M,-1.33%
1/17/2022 0:00,0.76147,0.77844,0.78022,0.75064,353.39M,-2.18%
1/16/2022 0:00,0.77843,0.77921,0.78416,0.7685,241.76M,-0.12%
1/15/2022 0:00,0.77934,0.77313,0.78921,0.76841,265.12M,0.79%
1/14/2022 0:00,0.77323,0.76752,0.79013,0.75279,410.72M,0.78%
1/13/2022 0:00,0.76724,0.79807,0.8021,0.76089,422.74M,-3.84%
1/12/2022 0:00,0.79788,0.76992,0.80681,0.75762,543.02M,3.64%
1/11/2022 0:00,0.76986,0.74011,0.77445,0.73084,495.85M,4.02%
1/10/2022 0:00,0.74013,0.75294,0.75892,0.70058,566.01M,-1.69%
1/9/2022 0:00,0.75283,0.74478,0.7665,0.73842,307.32M,1.09%
1/8/2022 0:00,0.74471,0.76271,0.77617,0.72319,471.11M,-2.35%
1/7/2022 0:00,0.7626,0.77904,0.78057,0.72996,688.04M,-2.18%
1/6/2022 0:00,0.7796,0.77137,0.79055,0.74005,584.96M,1.08%
1/5/2022 0:00,0.77125,0.82271,0.83655,0.71549,631.16M,-6.27%
1/4/2022 0:00,0.82285,0.83183,0.84489,0.81716,395.68M,-1.07%
1/3/2022 0:00,0.83173,0.85867,0.85867,0.82199,363.28M,-3.14%
1/2/2022 0:00,0.85871,0.85003,0.8638,0.83745,254.07M,1.02%
1/1/2022 0:00,0.85001,0.83007,0.85483,0.82553,266.53M,2.42%
